id_cliente,tipo_cliente,localidad,id_plan,fecha_alta,fecha_baja,motivo_baja,canal_alta,email,telefono
C1001,Residencial,Mar de Ostende,P01,2021-08-22,,,Vendedor,cliente0@telpin.com.ar,2254432743
C1002,Residencial,Mar de Ostende,P01,2020-07-21,,,Sucursal,cliente1@hotmail.com,02254-402084
C1003,Residencial,Cariló,P02,2019-04-23,,,Sucursal,cliente2@hotmail.com,+54 2254 431921
C1004,Residencial,Pinamar,P02,2023-05-19,,,Sucursal,cliente3@telpin.com.ar,+54 2254 475944
C1005,Residencial,Pinamar,P01,2021-10-14,,,Sucursal,cliente4@gmail.com,+54 2254 487082
C1006,Residencial,Valeria del Mar,P01,2022-09-28,,,Web,cliente5@telpin.com.ar,2254452812
C1007,Residencial,Pinamar,P01,2020-09-20,2025-12-16,Disconformidad con el servicio,Web,cliente6@gmail.com,2254463891
C1008,residencial,Valeria del Mar,P03,2021-12-17,,,Vendedor,cliente7@gmail.com,2254428981
C1009,Residencial,Ostende,P03,2021-04-01,2025-04-08,Disconformidad con el servicio,Web,cliente8@yahoo.com.ar,+54 2254 495863
C1010,Residencial,General Madariaga,P03,2023-12-11,2024-10-11,Disconformidad con el servicio,Sucursal,cliente9@gmail.com,2254454156
C1011,Residencial,Mar de Ostende,P01,2022-07-26,,,Telefónico,cliente10@telpin.com.ar,+54 2254 489394
C1012,Residencial,Valeria del Mar,P01,2021-10-14,,,Sucursal,cliente11@gmail.com,2254443240
C1013,Residencial,General Madariaga,P02,2023-09-29,,,Telefónico,cliente12@hotmail.com,02254-474340
C1014,Residencial,Ostende,P02,2020-05-25,2024-12-24,Precio,Web,cliente13@telpin.com.ar,02254-414288
C1015,RESIDENCIAL,Mar de Ostende,P02,2022-06-18,,,Telefónico,cliente14@gmail.com,02254-403516
C1016,Residencial,Pinamar,P02,2022-12-30,,,Vendedor,cliente15@gmail.com,2254486971
C1017,Residencial,General Madariaga,P01,2022-06-27,,,Web,cliente16@yahoo.com.ar,
C1018,Residencial,Pinamar,P03,2022-06-04,,,Web,cliente17@hotmail.com,02254-440885
C1019,Residencial,Mar de Ostende,P01,2023-11-20,,,Vendedor,cliente18@telpin.com.ar,02254-400523
C1020,Residencial,Pinamar,P01,2022-03-25,,,Telefónico,cliente19@hotmail.com,2254412528
C1021,Residencial,CARILÓ,P01,2023-06-13,,,Referido,cliente20@yahoo.com.ar,+54 2254 409800
C1022,Comercial,General Madariaga,P06,2018-12-12,,,Telefónico,cliente21@gmail.com,02254-426065
C1023,Residencial,Cariló,P03,2017-01-14,,,Sucursal,cliente22@yahoo.com.ar,+54 2254 471964
C1024,Residencial,Valeria del Mar,P02,2023-08-19,,,Telefónico,cliente23@hotmail.com,+54 2254 436592
C1025,Comercial,Pinamar,P06,2023-08-31,,,Sucursal,cliente24@hotmail.com,2254425086
C1026,Comercial,Pinamar,P06,2021-05-13,,,Sucursal,cliente25@gmail.com,02254-455208
C1027,Residencial,Ostende,P04,2021-12-08,,,Sucursal,cliente26@gmail.com,02254-473380
C1028,COMERCIAL,Ostende,P05,2023-04-28,,,Sucursal,cliente27@hotmail.com,2254474745
C1029,Residencial,Cariló,P03,2023-09-04,2026-05-01,Fin de temporada,Web,cliente28@hotmail.com,02254-412022
C1030,Residencial,Pinamar,P02,2021-11-23,2025-10-27,Se muda,Sucursal,cliente29@gmail.com,+54 2254 461177
C1031,Residencial,General Madariaga,P02,2023-08-16,,,Sucursal,cliente30@hotmail.com,+54 2254 440967
C1032,Residencial,Pinamar,P01,2022-09-15,,,Telefónico,cliente31@gmail.com,2254428167
C1033,Residencial,Pinamar,P04,2020-09-02,,,Telefónico,cliente32@hotmail.com,+54 2254 417370
C1034,RESIDENCIAL,Valeria del Mar,P02,2023-10-08,,,Web,,
C1035,Residencial,Pinamar,P02,2021-01-04,,,Vendedor,cliente34@hotmail.com,+54 2254 429036
C1036,Residencial,Pinamar,P01,2021-09-16,,,Referido,cliente35@gmail.com,+54 2254 423218
C1037,Residencial,Ostende,P05,2023-05-22,,,Telefónico,cliente36@telpin.com.ar,02254-498069
C1038,Comercial,Valeria del Mar,P06,2024-03-31,,,Vendedor,cliente37@gmail.com,+54 2254 422749
C1039,Residencial,Pinamar,P04,2021-03-01,2025-10-25,Se muda,Sucursal,cliente38@gmail.com,+54 2254 405479
C1040,Residencial,Pinamar,P03,2021-10-16,,,Sucursal,cliente39@telpin.com.ar,+54 2254 463848
C1041,Residencial,Cariló,P04,2020-06-02,,,Vendedor,,02254-406580
C1042,Residencial,Ostende,P03,2022-05-05,2026-05-25,Competencia,Vendedor,cliente41@hotmail.com,
C1043,Comercial,Valeria del Mar,P06,2020-06-26,,,Sucursal,cliente42@hotmail.com,+54 2254 497846
C1044,Residencial,Ostende,P03,2023-01-15,2024-08-07,Se muda,Telefónico,cliente43@gmail.com,+54 2254 429621
C1045,Residencial,General Madariaga,P02,2019-10-08,2025-01-23,Precio,Web,cliente44@telpin.com.ar,02254-441704
C1046,Residencial,Valeria del Mar,P02,2019-09-29,,,Sucursal,cliente45@telpin.com.ar,+54 2254 496428
C1047,Residencial,Valeria del Mar,P03,2016-10-19,,,Telefónico,cliente46@hotmail.com,+54 2254 461181
C1048,Residencial,Ostende,P04,2022-03-18,,,Referido,cliente47@hotmail.com,2254491976
C1049,Comercial,Pinamar,P05,2023-06-03,,,Sucursal,cliente48@telpin.com.ar,
C1050,Residencial,Mar de Ostende,P02,2024-03-02,2025-03-21,Fin de temporada,Telefónico,,02254-435064
C1051,Residencial,Valeria del Mar,P02,2021-05-13,,,Sucursal,cliente50@hotmail.com,2254471460
C1052,Residencial,Valeria del Mar,P05,2020-03-28,2024-10-02,Fin de temporada,Web,cliente51@gmail.com,2254476379
C1053,Residencial,pinamar,P01,2018-03-10,2024-11-21,Precio,Sucursal,cliente52@gmail.com,2254499856
C1054,Residencial,mar de ostende,P03,2023-05-08,2025-08-02,Disconformidad con el servicio,Vendedor,cliente53@gmail.com,2254434430
C1055,Residencial,Cariló,P02,2021-06-21,,,Telefónico,cliente54@telpin.com.ar,+54 2254 464050
C1056,Residencial,Pinamar,P01,2021-07-30,,,Sucursal,,+54 2254 410522
C1057,Residencial,Cariló,P05,2022-05-04,,,Web,cliente56@gmail.com,2254493016
